row_key,user_1,user_2,totalFrames,matchFrames,totalcM,matchcM,matching_segments,data_share_time,gc_time,execution_time,user_1_Snips,user_2_Snips,common_snips,padded_snips
31,74,92,3491,0,3579,0,0,14.283,181.722,196.005,707270,668961,404831,184481
32,74,93,3491,0,3579,0,0,14.432,182.919,197.351,707270,668961,404831,184481
33,74,94,3491,0,3579,0,0,13.852,189.212,203.064,707270,664448,421898,187638
34,74,95,3491,0,3579,0,0,13.625,179.823,193.448,707270,650429,399605,183819
35,74,96,3491,0,3579,0,0,13.356,188.01,201.36599999999999,707270,664448,424555,186005
36,75,90,3491,1,3579,5,1,13.303,186.81,200.113,680545,664448,413399,185897
37,75,91,3491,0,3579,0,0,13.225,180.419,193.644,680545,650429,393312,182688
38,75,92,3491,2,3579,10,2,12.943,180.165,193.108,680545,668961,398070,183306
39,75,93,3491,2,3579,10,2,13.546,180.188,193.73399999999998,680545,668961,398070,183306
40,75,94,3491,1,3579,5,1,12.695,185.696,198.391,680545,664448,413399,185897
41,75,95,3491,0,3579,0,0,13.546,180.327,193.873,680545,650429,393312,182688
42,75,96,3491,0,3579,0,0,12.721,188.255,200.976,680545,664448,415941,188475
